Data Category,Example Data Set,License,Format,Further Activity or Enhancement,To Be Completed By:
Companies,[Consumer Financial Complaints](http://www.consumerfinance.gov/complaintdatabase/),Public Domain,"API, CSV, XML","The data currently includes complaint details about private student loans, mortgages, credit cards, debt collection, bank accounts and services, credit reporting, money transfers, and other consumer loans. The type of data about each complaint includes, among other things company name to length of response time and result. The upcoming enhancement will include new types of complaints and new fields.",August 2014
Companies,[Dynamic Small Business Search](http://www.sba.gov/content/dynamic-small-business-search-dsbs-api),Public Domain,API,"The government's small business data base (Dynamic Small Business Search) will be revamped by: _ Improving accessibility to the data, and _ Making the data available for third parties through an API. The improvements are designed to enable third parties to create, for example, tools to give more context about contractors and suppliers so that companies can more easily locate qualified U.S. suppliers for their manufacturing facilities, ultimately reducing the transaction costs for firms working to source products and manufacture in the United States.",January 2015
Crime and Justice,Grants Program Plan,Public Domain,API,"This action focuses on releasing an API of forecasted fiscal year funding opportunities from the Office of Justice Programs in the Department of Justice. Data available will include funding opportunity title and description, program type/area, awarding office, expected release quarter, actual release date, applicant eligibility type, awarding agency point of contact, amount available, and average award amount.",December 2014
Crime and Justice,Department of Justice Developer Hub,,"Bulk, API","The Department of Justice will release a developer hub with bulk and API access to data, as appropriate.",December 2014
Earth Observation,[International Surface Hourly Data](http://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/integrated-surface-database-isd),Public Domain,"FTP, .txt, ASCII","This data includes hourly reports on parameters such as wind speed and direction, wind gust, temperature, dew point, cloud data, sea level pressure, altimeter setting, station pressure, present weather, visibility, precipitation amounts for various periods, snow depth as observed by each of 20,000 stations worldwide.",Ongoing
Earth Observation,[Hurricane Satellite](http://www.ncdc.noaa.gov/hursat/),Public Domain,"KML, netCDF","Improvements made to the collection of visible and infrared images collected by U.S. and international satellites. This will be useful for estimation of hurricane intensity and rates of intensification; applications for insurance, and construction industries. Improvements included: _ Better data connections to compare and connect data sets, and _ More combined data to provide additional context.",January 2014
Earth Observation,Landsat Surface Temperature,Public domain,"GeoTiff, XML metadata files","This effort will result in a release of surface temperature data from Landsat 8 operational thermal infrared sensor, which is used in energy models to monitor water use for irrigated lands.",December 2014
Education,National Center for Education Statistics' Common Core of Data and Integrated Postsecondary Education Data Systems,Public Domain,API,This data set will be released via API.,November 2014
Education,Smithsonian Cooper-Hewitt National Design Museum Collection,CC0,Open,"The Smithsonian Cooper-Hewitt National Design Museum Collection plans to make all digitized collections metadata public domain, and digitized collection images without copyright or other restriction publicly available at the highest available resolution for non-commercial, educational use.",December 2014
Education,Smithsonian Freer Gallery of Art and Arthur M. Sackler Gallery Collections,CC0,Open,"The Smithsonian Freer Gallery of Art and Arthur M. Sackler Gallery plans to make all digitized collections metadata public domain, and digitized collection images without copyright or other restriction publicly available at the highest available resolution for non-commercial, educational use.",December 2014
Education,Smithsonian American Art Museum Collection API,CC0,Open,"After a successful limited release of an API of the Smithsonian American Art Museum collection and hackathon that resulted in a number of working prototypes, the Smithsonian American Art Museum is planning a staged release, from open metadata, like artist or medium, to an open API of digitized collections images without copyright or other restriction available for non- commercial, educational use.",December 2014
Energy and Environment,Long-term Energy Projections from EIA's Annual Energy Outlook,Public Domain,"API, CSV",The U.S. Energy Information Administration released this data set via API and bulk files.,March 2014
Energy and Environment,[OpenFEMA initiative](http://www.fema.gov/data-feeds),,Open,"OpenFEMA will regularly release new disaster- related data in a machine-readable format and host workshops to build tools that support first responders, survivors, and impacted communities.",Initiative is Live
Energy and Environment,Recreation on Public Lands Information,,,This effort will result in a release of data about campsites and other recreational opportunities on public land.,March 2014
Energy and Environment,"Watershed Assessment, Tracking, & Environmental Results System",Public Domain,Open,This data set will be expanded to include information about national hydrography.,January 2014
Energy and Environment,Buildings Performance Database,Public Domain,Open,"Enhancements include a data table tool that allows users to generate and export statistical data about groups of buildings by type and region, a financial forecasting tool that forecasts cash flows for energy efficiency projects and an API that allows external software to conduct analyses of the data.",January 2014
Finance and Contacts,Natural Resource Revenues,,,Improve usability and documentation of data on revenues from natural resource extraction from public lands.,April 2014
Geospatial,[Wind Turbine Details and Mapping](http://pubs.usgs.gov/ds/817/),Public Domain,Open,This data will be released as map with an API.,March 2014
Geospatial,[CropScape](http://nassgeodata.gmu.edu/CropScape/),Public Domain,"GeoTIFF, htm and .xml, wms, wfs, wcs, GET, POST, and SOAP.","Released new map layers including river, lake, and road layers at national and regional level to the geo-referenced, crop-specific land cover data.",January 2014
Geospatial,Hurricane [Katrina Sampling and Monitoring](https://edg.epa.gov/data/public/OSWER/Katrina),Public,Open,Released geospatial data about the impact of natural disaster Hurricane Katrina.,January 2014
Global Development,Global Food Security,Public Domain,XLS,"The underlying data model will be released, as part of the [Global Open Data on Agriculture and Nutrition](http://godan.info/), an initiative established to increase the quality, quantity, and timeliness of available data to support agriculture and nutrition efforts in food security. By releasing the model, researchers will be able to evaluate the assumptions made in analyzing the data set and to also draw their own conclusions through changes in these assumptions.",Summer 2014
Global Development,[Famine Early Warning Systems Network](http://www.fews.net/),CC0,Open,Will be released for bulk download.,January 2015
Global Development,[Foreign Assistance Dashboard](http://www.foreignassistance.gov/web/default.aspx),,Open,U.S. Government agencies that provide Foreign Assistance funds (Development Aid) regularly add data about those activities.,Quarterly Updates
Government Accountability and Democracy,Federal Employee Human Resources Data,Public Domain,Text,Will securely share data about employment status through web services to verify employees and review dynamic HR data to determine data sets that can made publicly available consistent with privacy protections.,September 2014
Government Accountability and Democracy,Federal Employee Payroll Data,Public Domain,Text,"Will implement architecture, data quality, and usability improvements.",December 2014
Government Accountability and Democracy,Federal Employee Training Data,Public Domain,Text,"Will implement architecture, data quality, and usability improvements and add acquisition training data.",September 2014
